"filename", "language", "Rust", "TypeScript JSX", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\config.rs", "Rust", 1, 0, 0, 0, 1
"e:\DEV\Rust\file-sharing-app\src-tauri\src\data.rs", "Rust", 5, 0, 0, 1, 6
"e:\DEV\Rust\file-sharing-app\src-tauri\src\main.rs", "Rust", 30, 0, -1, -1, 28
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network.rs", "Rust", -21, 0, -9, -9, -39
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\client_handle.rs", "Rust", 106, 0, 0, 28, 134
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec.rs", "Rust", 1, 0, 0, 2, 3
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server_handle.rs", "Rust", 28, 0, -2, 8, 34
"e:\DEV\Rust\file-sharing-app\src-tauri\src\window.rs", "Rust", 18, 0, 0, 5, 23
"e:\DEV\Rust\file-sharing-app\src\RustCommands\networkCommands.tsx", "TypeScript JSX", 0, 12, 0, 6, 18
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.tsx", "TypeScript JSX", 0, 4, -1, 1, 4
"Total", "-", 168, 16, -13, 41, 212
