"filename", "language", "CSS", "TypeScript JSX", "Rust", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\data.rs", "Rust", 0, 0, 15, 0, 4, 19
"e:\DEV\Rust\file-sharing-app\src-tauri\src\main.rs", "Rust", 0, 0, 3, -8, -1, -6
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network.rs", "Rust", 0, 0, -5, 5, 0, 0
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server_handle.rs", "Rust", 0, 0, 11, 0, 4, 15
"e:\DEV\Rust\file-sharing-app\src-tauri\src\window.rs", "Rust", 0, 0, 55, 0, 9, 64
"e:\DEV\Rust\file-sharing-app\src\App.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 7
"e:\DEV\Rust\file-sharing-app\src\Components\DirectoryDetails.tsx", "TypeScript JSX", 0, 62, 0, 0, 5, 67
"e:\DEV\Rust\file-sharing-app\src\Components\Menu.tsx", "TypeScript JSX", 0, 34, 0, 0, 1, 35
"e:\DEV\Rust\file-sharing-app\src\RustCommands\ShareDirectoryContext.tsx", "TypeScript JSX", 0, 85, 0, 0, 21, 106
"e:\DEV\Rust\file-sharing-app\src\RustCommands\networkCommands.tsx", "TypeScript JSX", 0, 6, 0, 0, 1, 7
"e:\DEV\Rust\file-sharing-app\src\index.css", "CSS", 1, 0, 0, 0, 0, 1
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.css", "CSS", 13, 0, 0, 0, 4, 17
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.tsx", "TypeScript JSX", 0, 56, 0, 0, 3, 59
"Total", "-", 14, 250, 79, -3, 51, 391
