"filename", "language", "JSON", "JSON with Comments", "PowerShell", "Markdown", "TypeScript", "TypeScript JSX", "CSS", "XML", "HTML", "Rust", "TOML", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\README.md", "Markdown", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 21, 47
"e:\DEV\Rust\file-sharing-app\launch.ps1", "PowerShell", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\DEV\Rust\file-sharing-app\package-lock.json", "JSON", 30238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30239
"e:\DEV\Rust\file-sharing-app\package.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"e:\DEV\Rust\file-sharing-app\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"e:\DEV\Rust\file-sharing-app\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\DEV\Rust\file-sharing-app\src-tauri\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 5, 46
"e:\DEV\Rust\file-sharing-app\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\DEV\Rust\file-sharing-app\src-tauri\src\config.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 24, 116
"e:\DEV\Rust\file-sharing-app\src-tauri\src\data.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 9, 51
"e:\DEV\Rust\file-sharing-app\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 21, 126
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 5, 11, 62
