"filename", "language", "TypeScript JSX", "Rust", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network.rs", "Rust", 0, 1, 0, 1, 2
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\client.rs", "Rust", 0, 792, 0, 159, 951
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\client_handle.rs", "Rust", 0, -802, -1, -163, -966
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec.rs", "Rust", 0, 0, -30, -8, -38
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec\protobuf_map.rs", "Rust", 0, 71, 0, 12, 83
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\mdns.rs", "Rust", 0, -4, 0, -1, -5
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server.rs", "Rust", 0, 862, 0, 155, 1017
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server_handle.rs", "Rust", 0, -868, 0, -156, -1024
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.tsx", "TypeScript JSX", 1, 0, 0, 0, 1
"Total", "-", 1, 52, -31, -1, 21
