"filename", "language", "JSON", "JSON with Comments", "Markdown", "PowerShell", "TypeScript", "HTML", "CSS", "TypeScript JSX", "Rust", "XML", "TOML", "Protocol Buffers", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\README.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 47
"e:\DEV\Rust\file-sharing-app\launch.ps1", "PowerShell", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\DEV\Rust\file-sharing-app\package-lock.json", "JSON", 30267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30268
"e:\DEV\Rust\file-sharing-app\package.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"e:\DEV\Rust\file-sharing-app\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 23, 1, 44
"e:\DEV\Rust\file-sharing-app\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\DEV\Rust\file-sharing-app\src-tauri\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 5, 7, 54
"e:\DEV\Rust\file-sharing-app\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
"e:\DEV\Rust\file-sharing-app\src-tauri\src\config.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 39, 181
"e:\DEV\Rust\file-sharing-app\src-tauri\src\data.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 23, 124
"e:\DEV\Rust\file-sharing-app\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 25, 167
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 11, 57
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\client.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 792, 0, 0, 0, 0, 159, 951
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 1, 41, 184
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec\protobuf_map.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 438, 0, 0, 0, 0, 89, 527
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec\tcpMessages.proto", "Protocol Buffers", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 23, 138
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\mdns.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 29, 177
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 862, 0, 0, 0, 0, 155, 1017
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\tcp_listener.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 7, 26
"e:\DEV\Rust\file-sharing-app\src-tauri\src\peer_id.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 12, 56
"e:\DEV\Rust\file-sharing-app\src-tauri\src\window.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 18, 81
"e:\DEV\Rust\file-sharing-app\src-tauri\tauri.conf.json", "JSON", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110
"e:\DEV\Rust\file-sharing-app\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 13, 62
"e:\DEV\Rust\file-sharing-app\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"e:\DEV\Rust\file-sharing-app\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 27, 182
"e:\DEV\Rust\file-sharing-app\src\Components\DirectoryDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 34, 333
"e:\DEV\Rust\file-sharing-app\src\Components\Menu.css", "CSS", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"e:\DEV\Rust\file-sharing-app\src\Components\Menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 53
"e:\DEV\Rust\file-sharing-app\src\Components\ResizableBox.css", "CSS", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"e:\DEV\Rust\file-sharing-app\src\Components\ResizableBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"e:\DEV\Rust\file-sharing-app\src\RustCommands\ConnectedDevicesContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 14, 59
"e:\DEV\Rust\file-sharing-app\src\RustCommands\DownloadsManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 31, 175
"e:\DEV\Rust\file-sharing-app\src\RustCommands\ShareDirectoryContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 33, 169
"e:\DEV\Rust\file-sharing-app\src\RustCommands\networkCommands.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 12, 65
"e:\DEV\Rust\file-sharing-app\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"e:\DEV\Rust\file-sharing-app\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 7, 44
"e:\DEV\Rust\file-sharing-app\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.css", "CSS", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 10, 58
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 387, 0, 0, 0, 0, 0, 53, 440
"e:\DEV\Rust\file-sharing-app\src\pages\Settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 34, 22, 161
"e:\DEV\Rust\file-sharing-app\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\DEV\Rust\file-sharing-app\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\DEV\Rust\file-sharing-app\src\setupTests.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"e:\DEV\Rust\file-sharing-app\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 30461, 26, 26, 2, 14, 20, 179, 1464, 2945, 1, 42, 115, 71, 959, 36325
