"filename", "language", "Markdown", "CSS", "Rust", "TypeScript JSX", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\README.md", "Markdown", -26, 0, 0, 0, 0, -20, -46
"e:\DEV\Rust\file-sharing-app\src-tauri\src\config.rs", "Rust", 0, 0, 5, 0, 0, 0, 5
"e:\DEV\Rust\file-sharing-app\src-tauri\src\data.rs", "Rust", 0, 0, -4, 0, 0, 0, -4
"e:\DEV\Rust\file-sharing-app\src-tauri\src\main.rs", "Rust", 0, 0, 3, 0, 0, 1, 4
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\client.rs", "Rust", 0, 0, 33, 0, 0, 0, 33
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec.rs", "Rust", 0, 0, 12, 0, 0, 0, 12
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\codec\protobuf_map.rs", "Rust", 0, 0, 33, 0, 0, -1, 32
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\server.rs", "Rust", 0, 0, 19, 0, 0, 0, 19
"e:\DEV\Rust\file-sharing-app\src-tauri\src\network\tcp_listener.rs", "Rust", 0, 0, 2, 0, 0, 1, 3
"e:\DEV\Rust\file-sharing-app\src-tauri\src\peer_id.rs", "Rust", 0, 0, -6, 0, 0, 1, -5
"e:\DEV\Rust\file-sharing-app\src-tauri\src\window.rs", "Rust", 0, 0, 4, 0, 0, -1, 3
"e:\DEV\Rust\file-sharing-app\src\App.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"e:\DEV\Rust\file-sharing-app\src\App.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 5
"e:\DEV\Rust\file-sharing-app\src\Components\Menu.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"e:\DEV\Rust\file-sharing-app\src\Components\ResizableBox.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"e:\DEV\Rust\file-sharing-app\src\Components\ResizableBox.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 1, 6
"e:\DEV\Rust\file-sharing-app\src\RustCommands\ConnectedDevicesContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 1
"e:\DEV\Rust\file-sharing-app\src\RustCommands\DownloadsManager.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 6
"e:\DEV\Rust\file-sharing-app\src\RustCommands\ShareDirectoryContext.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 7
"e:\DEV\Rust\file-sharing-app\src\RustCommands\networkCommands.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 1, 10
"e:\DEV\Rust\file-sharing-app\src\index.css", "CSS", 0, 2, 0, 0, 0, 0, 2
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 8
"e:\DEV\Rust\file-sharing-app\src\pages\Settings.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 11
"Total", "-", -26, 2, 101, 51, 0, -13, 115
