"filename", "language", "Markdown", "TOML", "JSON with Comments", "JSON", "CSS", "Rust", "TypeScript", "TypeScript JSX", "XML", "Protocol Buffers", "HTML", "PowerShell", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\DEV\Rust\file-sharing-app\launch.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"e:\DEV\Rust\file-sharing-app\package-lock.json", "JSON", 0, 0, 0, 30267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30268
"e:\DEV\Rust\file-sharing-app\package.json", "JSON", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"e:\DEV\Rust\file-sharing-app\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"e:\DEV\Rust\file-sharing-app\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\DEV\Rust\file-sharing-app\src-tauri\Cargo.toml", "TOML", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 54
"e:\DEV\Rust\file-sharing-app\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
"e:\DEV\Rust\file-sharing-app\src-tauri\src\config.rs", "Rust", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 39, 186
"e:\DEV\Rust\file-sharing-app\src-tauri\src\data.rs", "Rust", 0, 0, 0, 0, 0, 326, 0, 0, 0, 0, 0, 0, 1, 67, 394
"e:\DEV\Rust\file-sharing-app\src-tauri\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\DEV\Rust\file-sharing-app\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 26, 171
